Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

01:25:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:25:47 PM  all   89.28    0.00    7.81    0.00    0.00    0.10    0.00    0.00    0.00    2.80
01:25:52 PM  all   91.50    0.00    8.10    0.00    0.00    0.05    0.00    0.00    0.00    0.35
01:25:57 PM  all   91.54    0.00    8.11    0.00    0.00    0.00    0.00    0.00    0.00    0.35
01:26:02 PM  all   91.50    0.00    7.80    0.00    0.00    0.10    0.00    0.00    0.00    0.60
01:26:07 PM  all   91.25    0.00    8.30    0.00    0.00    0.00    0.00    0.00    0.00    0.45
01:26:12 PM  all   91.49    0.00    7.86    0.00    0.00    0.20    0.00    0.00    0.00    0.45
01:26:17 PM  all   91.69    0.00    8.06    0.00    0.00    0.00    0.00    0.00    0.00    0.25
01:26:22 PM  all   91.15    0.00    8.35    0.00    0.00    0.05    0.00    0.00    0.00    0.45
01:26:27 PM  all   91.70    0.00    7.85    0.00    0.00    0.10    0.00    0.00    0.00    0.35
01:26:32 PM  all   91.83    0.00    7.72    0.00    0.00    0.00    0.00    0.00    0.00    0.45
01:26:37 PM  all   91.50    0.00    8.00    0.00    0.00    0.15    0.00    0.00    0.00    0.35
01:26:42 PM  all   91.65    0.00    8.10    0.00    0.00    0.00    0.00    0.00    0.00    0.25
Average:     all   91.34    0.00    8.01    0.00    0.00    0.06    0.00    0.00    0.00    0.59
