Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

01:55:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:56:04 PM  all   13.66   75.59    7.85    0.00    0.00    0.05    0.00    0.00    0.00    2.85
01:56:09 PM  all   12.33   79.60    7.67    0.00    0.00    0.05    0.00    0.00    0.00    0.35
01:56:14 PM  all   12.39   79.06    8.20    0.00    0.00    0.05    0.00    0.00    0.00    0.30
01:56:19 PM  all   12.64   79.72    7.34    0.00    0.00    0.05    0.00    0.00    0.00    0.25
01:56:24 PM  all   13.10   78.75    7.80    0.00    0.00    0.05    0.00    0.00    0.00    0.30
01:56:29 PM  all   12.22   79.96    7.52    0.00    0.00    0.00    0.00    0.00    0.00    0.30
01:56:34 PM  all   12.39   79.51    7.70    0.00    0.00    0.00    0.00    0.00    0.00    0.40
01:56:39 PM  all   13.11   78.89    7.70    0.00    0.00    0.05    0.00    0.00    0.00    0.25
01:56:44 PM  all   12.14   79.56    7.80    0.00    0.00    0.10    0.00    0.00    0.00    0.40
01:56:49 PM  all   12.78   79.10    7.77    0.00    0.00    0.00    0.00    0.00    0.00    0.35
01:56:54 PM  all   12.49   79.42    7.84    0.00    0.00    0.00    0.00    0.00    0.00    0.25
01:56:59 PM  all   12.53   79.15    7.92    0.00    0.00    0.05    0.00    0.00    0.00    0.35
Average:     all   12.65   79.03    7.76    0.00    0.00    0.04    0.00    0.00    0.00    0.53
