Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

01:21:15 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:21:20 PM  all   88.94    0.00    8.11    0.00    0.00    0.10    0.00    0.00    0.00    2.85
01:21:25 PM  all   91.15    0.00    8.00    0.00    0.00    0.05    0.00    0.00    0.00    0.80
01:21:30 PM  all   91.80    0.00    7.90    0.00    0.00    0.15    0.00    0.00    0.00    0.15
01:21:35 PM  all   91.34    0.00    8.11    0.00    0.00    0.05    0.00    0.00    0.00    0.50
01:21:40 PM  all   91.90    0.00    7.75    0.00    0.00    0.10    0.00    0.00    0.00    0.25
01:21:45 PM  all   91.45    0.00    8.20    0.00    0.00    0.00    0.00    0.00    0.00    0.35
01:21:50 PM  all   92.05    0.00    7.60    0.00    0.00    0.05    0.00    0.00    0.00    0.30
01:21:55 PM  all   91.28    0.00    8.12    0.00    0.00    0.00    0.00    0.00    0.00    0.60
01:22:00 PM  all   92.05    0.00    7.70    0.00    0.00    0.10    0.00    0.00    0.00    0.15
01:22:05 PM  all   91.24    0.00    8.21    0.00    0.00    0.05    0.00    0.00    0.00    0.50
01:22:10 PM  all   91.65    0.00    7.90    0.00    0.00    0.05    0.00    0.00    0.00    0.40
01:22:15 PM  all   91.84    0.00    7.81    0.00    0.00    0.05    0.00    0.00    0.00    0.30
Average:     all   91.39    0.00    7.95    0.00    0.00    0.06    0.00    0.00    0.00    0.60
