Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

01:57:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:57:15 PM  all   13.51   75.44    7.95    0.00    0.00    0.00    0.00    0.00    0.00    3.10
01:57:20 PM  all   12.56   79.28    7.71    0.00    0.00    0.05    0.00    0.00    0.00    0.40
01:57:25 PM  all   12.58   78.98    8.09    0.00    0.00    0.10    0.00    0.00    0.00    0.25
01:57:30 PM  all   12.41   79.38    8.01    0.00    0.00    0.00    0.00    0.00    0.00    0.20
01:57:35 PM  all   12.68   79.46    7.77    0.00    0.00    0.00    0.00    0.00    0.00    0.10
01:57:40 PM  all   12.88   78.63    8.04    0.00    0.00    0.10    0.00    0.00    0.00    0.35
01:57:45 PM  all   12.17   79.46    8.12    0.00    0.00    0.00    0.00    0.00    0.00    0.25
01:57:50 PM  all   12.24   79.51    7.85    0.00    0.00    0.10    0.00    0.00    0.00    0.30
01:57:55 PM  all   12.31   79.58    7.81    0.00    0.00    0.00    0.00    0.00    0.00    0.30
01:58:00 PM  all   12.46   79.59    7.55    0.00    0.00    0.00    0.00    0.00    0.00    0.40
01:58:05 PM  all   12.65   79.40    7.65    0.00    0.00    0.05    0.00    0.00    0.00    0.25
01:58:10 PM  all   12.75   79.20    7.80    0.00    0.00    0.00    0.00    0.00    0.00    0.25
Average:     all   12.60   78.99    7.86    0.00    0.00    0.03    0.00    0.00    0.00    0.51
