Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

01:26:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:59 PM  all   89.19    0.00    8.11    0.00    0.00    0.05    0.00    0.00    0.00    2.65
01:27:04 PM  all   91.35    0.00    8.35    0.00    0.00    0.05    0.00    0.00    0.00    0.25
01:27:09 PM  all   91.54    0.00    8.01    0.00    0.00    0.05    0.00    0.00    0.00    0.40
01:27:14 PM  all   90.95    0.00    8.40    0.00    0.00    0.05    0.00    0.00    0.00    0.60
01:27:19 PM  all   91.89    0.00    7.86    0.00    0.00    0.05    0.00    0.00    0.00    0.20
01:27:24 PM  all   91.80    0.00    7.85    0.00    0.00    0.05    0.00    0.00    0.00    0.30
01:27:29 PM  all   91.60    0.00    8.10    0.00    0.00    0.05    0.00    0.00    0.00    0.25
01:27:34 PM  all   91.70    0.00    7.95    0.00    0.00    0.10    0.00    0.00    0.00    0.25
01:27:39 PM  all   91.94    0.00    7.86    0.00    0.00    0.00    0.00    0.00    0.00    0.20
01:27:44 PM  all   91.75    0.00    7.80    0.00    0.00    0.15    0.00    0.00    0.00    0.30
01:27:49 PM  all   91.55    0.00    8.15    0.00    0.00    0.00    0.00    0.00    0.00    0.30
01:27:54 PM  all   91.34    0.00    8.21    0.00    0.00    0.05    0.00    0.00    0.00    0.40
Average:     all   91.38    0.00    8.05    0.00    0.00    0.05    0.00    0.00    0.00    0.51
