Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

01:22:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:22:32 PM  all   88.89    0.00    7.86    0.00    0.00    0.05    0.00    0.00    0.00    3.20
01:22:37 PM  all   91.74    0.00    7.86    0.00    0.00    0.00    0.00    0.00    0.00    0.40
01:22:42 PM  all   91.85    0.00    7.90    0.00    0.00    0.05    0.00    0.00    0.00    0.20
01:22:47 PM  all   91.43    0.00    8.22    0.00    0.00    0.00    0.00    0.00    0.00    0.35
01:22:52 PM  all   91.41    0.00    7.79    0.00    0.00    0.10    0.00    0.00    0.00    0.70
01:22:57 PM  all   91.35    0.00    8.30    0.00    0.00    0.05    0.00    0.00    0.00    0.30
01:23:02 PM  all   91.84    0.00    7.81    0.00    0.00    0.10    0.00    0.00    0.00    0.25
01:23:07 PM  all   91.64    0.00    8.11    0.00    0.00    0.00    0.00    0.00    0.00    0.25
01:23:12 PM  all   91.85    0.00    7.80    0.00    0.00    0.05    0.00    0.00    0.00    0.30
01:23:17 PM  all   91.23    0.00    8.32    0.00    0.00    0.05    0.00    0.00    0.00    0.40
01:23:22 PM  all   91.70    0.00    7.90    0.00    0.00    0.05    0.00    0.00    0.00    0.35
01:23:27 PM  all   91.60    0.00    8.15    0.00    0.00    0.10    0.00    0.00    0.00    0.15
Average:     all   91.38    0.00    8.00    0.00    0.00    0.05    0.00    0.00    0.00    0.57
