Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

02:27:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:27:23 PM  all   24.03    0.00    5.24    0.05    0.00    1.48    0.00    0.00    0.00   69.20
02:27:28 PM  all   24.36    0.00    4.78    0.00    0.00    1.58    0.00    0.00    0.00   69.28
02:27:33 PM  all   23.39    0.00    4.83    0.00    0.00    1.68    0.00    0.00    0.00   70.11
02:27:38 PM  all   23.30    0.00    4.84    0.00    0.00    1.58    0.00    0.00    0.00   70.27
02:27:43 PM  all   22.55    0.00    4.72    0.00    0.00    1.57    0.00    0.00    0.00   71.15
02:27:48 PM  all   22.94    0.00    4.53    0.00    0.00    1.53    0.00    0.00    0.00   71.01
02:27:53 PM  all   22.55    0.00    4.62    0.00    0.00    1.68    0.00    0.00    0.00   71.15
02:27:58 PM  all   23.69    0.00    4.80    0.00    0.00    1.43    0.00    0.00    0.00   70.09
02:28:03 PM  all   23.59    0.00    4.84    0.00    0.00    1.58    0.00    0.00    0.00   69.99
02:28:08 PM  all   24.08    0.00    5.24    0.00    0.00    1.53    0.00    0.00    0.00   69.14
02:28:13 PM  all   24.24    0.00    4.79    0.00    0.00    1.53    0.00    0.00    0.00   69.45
02:28:18 PM  all   23.32    0.00    4.80    0.00    0.00    1.53    0.00    0.00    0.00   70.36
Average:     all   23.50    0.00    4.84    0.00    0.00    1.56    0.00    0.00    0.00   70.10
