Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

02:20:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:20:55 PM  all   89.14    0.00    8.21    0.00    0.00    0.00    0.00    0.00    0.00    2.65
02:21:00 PM  all   91.49    0.00    8.21    0.00    0.00    0.05    0.00    0.00    0.00    0.25
02:21:05 PM  all   91.75    0.00    7.95    0.00    0.00    0.05    0.00    0.00    0.00    0.25
02:21:10 PM  all   91.96    0.00    7.74    0.00    0.00    0.10    0.00    0.00    0.00    0.20
02:21:15 PM  all   91.80    0.00    7.70    0.00    0.00    0.10    0.00    0.00    0.00    0.40
02:21:20 PM  all   91.74    0.00    8.01    0.00    0.00    0.00    0.00    0.00    0.00    0.25
02:21:25 PM  all   91.54    0.00    7.96    0.00    0.00    0.05    0.00    0.00    0.00    0.45
02:21:30 PM  all   92.05    0.00    7.65    0.00    0.00    0.15    0.00    0.00    0.00    0.15
02:21:35 PM  all   91.80    0.00    7.85    0.00    0.00    0.00    0.00    0.00    0.00    0.35
02:21:40 PM  all   91.65    0.00    8.05    0.00    0.00    0.05    0.00    0.00    0.00    0.25
02:21:45 PM  all   92.10    0.00    7.65    0.00    0.00    0.05    0.00    0.00    0.00    0.20
02:21:50 PM  all   91.95    0.00    7.65    0.00    0.00    0.10    0.00    0.00    0.00    0.30
Average:     all   91.58    0.00    7.89    0.00    0.00    0.06    0.00    0.00    0.00    0.48
