Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

02:16:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:16:25 PM  all   88.89    0.00    7.81    0.00    0.00    0.10    0.00    0.00    0.00    3.20
02:16:30 PM  all   91.70    0.00    7.90    0.00    0.00    0.05    0.00    0.00    0.00    0.35
02:16:35 PM  all   91.60    0.00    8.00    0.00    0.00    0.05    0.00    0.00    0.00    0.35
02:16:40 PM  all   92.00    0.00    7.85    0.00    0.00    0.00    0.00    0.00    0.00    0.15
02:16:45 PM  all   91.60    0.00    8.05    0.00    0.00    0.05    0.00    0.00    0.00    0.30
02:16:50 PM  all   92.18    0.00    7.72    0.00    0.00    0.00    0.00    0.00    0.00    0.10
02:16:55 PM  all   91.70    0.00    7.70    0.00    0.00    0.10    0.00    0.00    0.00    0.50
02:17:00 PM  all   91.46    0.00    8.14    0.00    0.00    0.15    0.00    0.00    0.00    0.25
02:17:05 PM  all   91.60    0.00    8.00    0.00    0.00    0.05    0.00    0.00    0.00    0.35
02:17:10 PM  all   92.05    0.00    7.65    0.00    0.00    0.05    0.00    0.00    0.00    0.25
02:17:15 PM  all   92.08    0.00    7.72    0.00    0.00    0.05    0.00    0.00    0.00    0.15
02:17:20 PM  all   92.01    0.00    7.69    0.00    0.00    0.05    0.00    0.00    0.00    0.25
Average:     all   91.57    0.00    7.85    0.00    0.00    0.06    0.00    0.00    0.00    0.52
