Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

02:17:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:17:54 PM  all   89.18    0.00    7.71    0.00    0.00    0.05    0.00    0.00    0.00    3.05
02:17:59 PM  all   91.49    0.00    8.36    0.00    0.00    0.00    0.00    0.00    0.00    0.15
02:18:04 PM  all   91.35    0.00    8.25    0.00    0.00    0.10    0.00    0.00    0.00    0.30
02:18:09 PM  all   91.71    0.00    8.09    0.00    0.00    0.05    0.00    0.00    0.00    0.15
02:18:14 PM  all   92.34    0.00    7.56    0.00    0.00    0.00    0.00    0.00    0.00    0.10
02:18:19 PM  all   92.15    0.00    7.55    0.00    0.00    0.05    0.00    0.00    0.00    0.25
02:18:24 PM  all   91.80    0.00    7.85    0.00    0.00    0.15    0.00    0.00    0.00    0.20
02:18:29 PM  all   91.40    0.00    8.15    0.00    0.00    0.05    0.00    0.00    0.00    0.40
02:18:34 PM  all   91.89    0.00    7.96    0.00    0.00    0.05    0.00    0.00    0.00    0.10
02:18:39 PM  all   92.05    0.00    7.55    0.00    0.00    0.05    0.00    0.00    0.00    0.35
02:18:44 PM  all   91.59    0.00    7.96    0.00    0.00    0.05    0.00    0.00    0.00    0.40
02:18:49 PM  all   91.61    0.00    7.89    0.00    0.00    0.10    0.00    0.00    0.00    0.40
Average:     all   91.55    0.00    7.91    0.00    0.00    0.06    0.00    0.00    0.00    0.49
