Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

02:26:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:26:14 PM  all   24.92    0.00    5.60    0.00    0.00    1.63    0.00    0.00    0.00   67.85
02:26:19 PM  all   23.39    0.00    5.13    0.00    0.00    1.47    0.00    0.00    0.00   70.01
02:26:24 PM  all   23.23    0.00    4.84    0.00    0.00    1.48    0.00    0.00    0.00   70.45
02:26:29 PM  all   24.03    0.00    5.08    0.00    0.00    1.68    0.00    0.00    0.00   69.21
02:26:34 PM  all   23.45    0.00    4.96    0.00    0.00    1.58    0.00    0.00    0.00   70.01
02:26:39 PM  all   23.12    0.00    5.09    0.00    0.00    1.53    0.00    0.00    0.00   70.26
02:26:44 PM  all   24.22    0.00    5.51    0.00    0.00    1.43    0.00    0.00    0.00   68.84
02:26:49 PM  all   23.68    0.00    5.13    0.00    0.00    1.68    0.00    0.00    0.00   69.51
02:26:54 PM  all   23.94    0.00    5.04    0.00    0.00    1.38    0.00    0.00    0.00   69.64
02:26:59 PM  all   23.66    0.00    4.90    0.00    0.00    1.73    0.00    0.00    0.00   69.71
02:27:04 PM  all   24.01    0.00    5.04    0.00    0.00    1.48    0.00    0.00    0.00   69.48
02:27:09 PM  all   23.40    0.00    5.11    0.00    0.00    1.53    0.00    0.00    0.00   69.95
Average:     all   23.76    0.00    5.12    0.00    0.00    1.55    0.00    0.00    0.00   69.58
