Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

02:23:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:23:54 PM  all   89.19    0.00    8.10    0.00    0.00    0.05    0.00    0.00    0.00    2.65
02:23:59 PM  all   91.70    0.00    8.00    0.00    0.00    0.05    0.00    0.00    0.00    0.25
02:24:04 PM  all   91.25    0.00    8.25    0.00    0.00    0.05    0.00    0.00    0.00    0.45
02:24:09 PM  all   91.64    0.00    8.11    0.00    0.00    0.05    0.00    0.00    0.00    0.20
02:24:14 PM  all   91.85    0.00    7.80    0.00    0.00    0.05    0.00    0.00    0.00    0.30
02:24:19 PM  all   91.99    0.00    7.71    0.00    0.00    0.00    0.00    0.00    0.00    0.30
02:24:24 PM  all   91.76    0.00    7.94    0.00    0.00    0.15    0.00    0.00    0.00    0.15
02:24:29 PM  all   91.68    0.00    8.12    0.00    0.00    0.05    0.00    0.00    0.00    0.15
02:24:34 PM  all   91.85    0.00    7.90    0.00    0.00    0.00    0.00    0.00    0.00    0.25
02:24:39 PM  all   92.20    0.00    7.55    0.00    0.00    0.05    0.00    0.00    0.00    0.20
02:24:44 PM  all   91.65    0.00    7.95    0.00    0.00    0.00    0.00    0.00    0.00    0.40
02:24:49 PM  all   91.95    0.00    7.90    0.00    0.00    0.10    0.00    0.00    0.00    0.05
Average:     all   91.56    0.00    7.94    0.00    0.00    0.05    0.00    0.00    0.00    0.45
