Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

03:03:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:03:12 PM  all   25.38    0.00   10.06    0.00    0.00    2.60    0.00    0.00    0.00   61.95
03:03:17 PM  all   24.97    0.00   10.13    0.00    0.00    2.05    0.00    0.00    0.00   62.85
03:03:22 PM  all   25.08    0.00    9.88    0.00    0.00    2.00    0.00    0.00    0.00   63.05
03:03:27 PM  all   24.97    0.00    9.86    0.00    0.00    2.15    0.00    0.00    0.00   63.02
03:03:32 PM  all   24.89    0.00    9.56    0.00    0.00    2.10    0.00    0.00    0.00   63.46
03:03:37 PM  all   25.11    0.00    9.85    0.00    0.00    2.30    0.00    0.00    0.00   62.74
03:03:42 PM  all   24.77    0.00    9.46    0.00    0.00    2.21    0.00    0.00    0.00   63.57
03:03:47 PM  all   24.71    0.00    9.49    0.00    0.00    2.30    0.00    0.00    0.00   63.50
03:03:52 PM  all   25.60    0.00    9.46    0.00    0.00    2.26    0.00    0.00    0.00   62.67
03:03:57 PM  all   24.94    0.00    9.74    0.00    0.00    2.09    0.00    0.00    0.00   63.23
03:04:02 PM  all   24.62    0.00    9.60    0.00    0.00    2.30    0.00    0.00    0.00   63.48
03:04:07 PM  all   25.34    0.00   10.50    0.00    0.00    2.55    0.00    0.00    0.00   61.60
Average:     all   25.03    0.00    9.80    0.00    0.00    2.24    0.00    0.00    0.00   62.93
