Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

03:10:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:10:32 PM  all    0.50    0.00    0.40    0.00    0.00    0.05    0.00    0.00    0.00   99.05
03:10:37 PM  all    0.05    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.75
03:10:42 PM  all   22.46    3.61    8.33    0.00    0.00    1.32    0.00    0.00    0.00   64.28
03:10:47 PM  all   21.30    3.58    7.01    0.00    0.00    1.33    0.00    0.00    0.00   66.77
03:10:52 PM  all   21.22    3.76    7.26    0.00    0.00    1.57    0.00    0.00    0.00   66.19
03:10:57 PM  all   21.25    3.37    7.10    0.00    0.00    1.28    0.00    0.00    0.00   67.01
03:11:02 PM  all   20.01    3.41    6.92    0.00    0.00    1.37    0.00    0.00    0.00   68.28
03:11:07 PM  all   20.06    3.35    6.96    0.00    0.00    1.42    0.00    0.00    0.00   68.21
03:11:12 PM  all   21.60    3.52    7.64    0.00    0.00    1.27    0.00    0.00    0.00   65.97
03:11:17 PM  all   21.20    3.62    7.44    0.00    0.00    1.38    0.00    0.00    0.00   66.36
03:11:22 PM  all   20.64    3.52    6.98    0.00    0.00    1.38    0.00    0.00    0.00   67.48
03:11:27 PM  all   21.27    3.61    7.07    0.00    0.00    1.37    0.00    0.00    0.00   66.67
Average:     all   17.59    2.94    6.10    0.00    0.00    1.14    0.00    0.00    0.00   72.23
