Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

03:01:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:02:01 PM  all   25.73    0.00    9.75    0.00    0.00    2.09    0.00    0.00    0.00   62.43
03:02:06 PM  all   23.89    0.00    9.53    0.00    0.00    2.15    0.00    0.00    0.00   64.43
03:02:11 PM  all   24.72    0.00    9.35    0.00    0.00    2.04    0.00    0.00    0.00   63.89
03:02:16 PM  all   25.08    0.00    9.93    0.00    0.00    2.46    0.00    0.00    0.00   62.54
03:02:21 PM  all   24.49    0.00    9.41    0.00    0.00    2.20    0.00    0.00    0.00   63.91
03:02:26 PM  all   25.00    0.00    9.89    0.00    0.00    2.25    0.00    0.00    0.00   62.86
03:02:31 PM  all   24.67    0.00    9.98    0.00    0.00    2.00    0.00    0.00    0.00   63.36
03:02:36 PM  all   24.83    0.00    9.33    0.00    0.00    2.14    0.00    0.00    0.00   63.69
03:02:41 PM  all   24.45    0.00    9.41    0.00    0.00    2.15    0.00    0.00    0.00   63.99
03:02:46 PM  all   24.39    0.00    9.87    0.00    0.00    2.04    0.00    0.00    0.00   63.70
03:02:51 PM  all   25.33    0.00   10.11    0.00    0.00    2.25    0.00    0.00    0.00   62.31
03:02:56 PM  all   25.09    0.00   10.29    0.00    0.00    2.05    0.00    0.00    0.00   62.57
Average:     all   24.81    0.00    9.74    0.00    0.00    2.15    0.00    0.00    0.00   63.31
