Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

03:12:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:12:52 PM  all   22.03    3.31    7.80    0.00    0.00    1.33    0.00    0.00    0.00   65.53
03:12:57 PM  all   21.68    3.46    7.18    0.00    0.00    1.32    0.00    0.00    0.00   66.36
03:13:02 PM  all   20.48    3.61    7.72    0.00    0.00    1.47    0.00    0.00    0.00   66.72
03:13:07 PM  all   21.16    3.57    7.24    0.00    0.00    1.33    0.00    0.00    0.00   66.70
03:13:12 PM  all   21.64    3.62    7.71    0.00    0.00    1.38    0.00    0.00    0.00   65.65
03:13:17 PM  all   20.78    3.52    7.13    0.00    0.00    1.27    0.00    0.00    0.00   67.29
03:13:22 PM  all   20.96    3.48    7.16    0.00    0.00    1.48    0.00    0.00    0.00   66.92
03:13:27 PM  all   21.53    3.61    7.47    0.00    0.00    1.73    0.00    0.00    0.00   65.67
03:13:32 PM  all   20.81    3.57    7.45    0.00    0.00    1.33    0.00    0.00    0.00   66.85
03:13:37 PM  all   21.62    3.37    7.45    0.00    0.00    1.53    0.00    0.00    0.00   66.04
03:13:42 PM  all   21.07    3.61    7.12    0.00    0.00    1.32    0.00    0.00    0.00   66.87
03:13:47 PM  all   21.22    3.56    7.12    0.05    0.00    1.48    0.00    0.00    0.00   66.56
Average:     all   21.25    3.52    7.38    0.00    0.00    1.41    0.00    0.00    0.00   66.43
