Linux 6.8.0-139-generic (turbo-plugin) 	09/07/2026 	_x86_64_	(4 CPU)

03:08:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:08:36 PM  all   27.30    0.00   11.24    0.00    0.00    1.44    0.00    0.00    0.00   60.03
03:08:41 PM  all   25.20    0.00   11.15    0.00    0.00    1.84    0.00    0.00    0.00   61.81
03:08:46 PM  all   26.03    0.00   11.14    0.00    0.00    1.75    0.00    0.00    0.00   61.09
03:08:51 PM  all   26.10    0.00   11.05    0.00    0.00    1.70    0.00    0.00    0.00   61.15
03:08:56 PM  all   25.86    0.00   10.63    0.00    0.00    1.58    0.00    0.00    0.00   61.93
03:09:01 PM  all   25.12    0.00   11.43    0.00    0.00    1.79    0.00    0.00    0.00   61.66
03:09:06 PM  all   26.37    0.00   10.88    0.00    0.00    1.44    0.00    0.00    0.00   61.31
03:09:11 PM  all   25.46    0.00   10.85    0.00    0.00    1.75    0.00    0.00    0.00   61.93
03:09:16 PM  all   26.17    0.00   11.19    0.00    0.00    1.95    0.00    0.00    0.00   60.70
03:09:21 PM  all   26.31    0.00   10.77    0.00    0.00    1.74    0.00    0.00    0.00   61.18
03:09:26 PM  all   26.91    0.00   11.30    0.00    0.00    1.95    0.00    0.00    0.00   59.84
03:09:31 PM  all   25.87    0.00   11.27    0.00    0.00    1.64    0.00    0.00    0.00   61.22
Average:     all   26.06    0.00   11.07    0.00    0.00    1.71    0.00    0.00    0.00   61.15
