Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

11:24:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:24:38 AM  all   23.97    0.00    5.55    0.00    0.00    1.48    0.00    0.00    0.00   69.01
11:24:43 AM  all   22.09    0.00    4.80    0.00    0.00    1.48    0.00    0.00    0.00   71.63
11:24:48 AM  all   23.09    0.00    4.69    0.00    0.00    1.38    0.00    0.00    0.00   70.85
11:24:53 AM  all   22.35    0.00    4.89    0.00    0.00    1.58    0.00    0.00    0.00   71.18
11:24:58 AM  all   23.42    0.00    4.95    0.00    0.00    1.38    0.00    0.00    0.00   70.26
11:25:03 AM  all   23.16    0.00    4.94    0.00    0.00    1.58    0.00    0.00    0.00   70.33
11:25:08 AM  all   22.30    0.00    4.74    0.00    0.00    1.33    0.00    0.00    0.00   71.63
11:25:13 AM  all   23.15    0.00    4.54    0.00    0.00    1.53    0.00    0.00    0.00   70.78
11:25:18 AM  all   22.63    0.00    4.79    0.00    0.00    1.58    0.00    0.00    0.00   71.00
11:25:23 AM  all   22.54    0.00    4.79    0.00    0.00    1.58    0.00    0.00    0.00   71.09
11:25:28 AM  all   22.88    0.00    4.43    0.00    0.00    1.48    0.00    0.00    0.00   71.20
11:25:33 AM  all   22.79    0.00    4.63    0.00    0.00    1.63    0.00    0.00    0.00   70.96
Average:     all   22.86    0.00    4.81    0.00    0.00    1.50    0.00    0.00    0.00   70.83
