Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

11:25:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:25:57 AM  all   24.57    0.00    5.90    0.05    0.00    1.42    0.00    0.00    0.00   68.06
11:26:02 AM  all   22.66    0.00    4.74    0.00    0.00    1.58    0.00    0.00    0.00   71.03
11:26:07 AM  all   22.85    0.00    4.50    0.00    0.00    1.53    0.00    0.00    0.00   71.11
11:26:12 AM  all   23.31    0.00    5.29    0.00    0.00    1.48    0.00    0.00    0.00   69.92
11:26:17 AM  all   22.90    0.00    4.99    0.00    0.00    1.53    0.00    0.00    0.00   70.59
11:26:22 AM  all   22.94    0.00    4.59    0.00    0.00    1.33    0.00    0.00    0.00   71.15
11:26:27 AM  all   22.87    0.00    5.15    0.00    0.00    1.68    0.00    0.00    0.00   70.30
11:26:32 AM  all   22.06    0.00    4.44    0.00    0.00    1.43    0.00    0.00    0.00   72.06
11:26:37 AM  all   22.65    0.00    4.94    0.00    0.00    1.53    0.00    0.00    0.00   70.89
11:26:42 AM  all   23.14    0.00    4.89    0.00    0.00    1.53    0.00    0.00    0.00   70.44
11:26:47 AM  all   22.35    0.00    4.64    0.00    0.00    1.38    0.00    0.00    0.00   71.63
11:26:52 AM  all   21.92    0.00    4.49    0.00    0.00    1.58    0.00    0.00    0.00   72.02
Average:     all   22.85    0.00    4.88    0.00    0.00    1.50    0.00    0.00    0.00   70.77
