Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

09:32:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:32:53 AM  all   82.49    0.00   14.86    0.00    0.00    0.00    0.00    0.00    0.00    2.65
09:32:58 AM  all   85.01    0.00   14.64    0.00    0.00    0.10    0.00    0.00    0.00    0.25
09:33:03 AM  all   85.52    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00    0.05
09:33:08 AM  all   84.96    0.00   14.74    0.00    0.00    0.05    0.00    0.00    0.00    0.25
09:33:13 AM  all   85.20    0.00   14.50    0.00    0.00    0.15    0.00    0.00    0.00    0.15
09:33:18 AM  all   84.75    0.00   14.95    0.00    0.00    0.00    0.00    0.00    0.00    0.30
09:33:23 AM  all   85.39    0.00   14.46    0.00    0.00    0.05    0.00    0.00    0.00    0.10
09:33:28 AM  all   85.24    0.00   14.61    0.00    0.00    0.05    0.00    0.00    0.00    0.10
09:33:33 AM  all   85.04    0.00   14.71    0.00    0.00    0.05    0.00    0.00    0.00    0.20
09:33:38 AM  all   85.15    0.00   14.65    0.00    0.00    0.00    0.00    0.00    0.00    0.20
09:33:43 AM  all   85.18    0.00   14.57    0.00    0.00    0.05    0.00    0.00    0.00    0.20
09:33:48 AM  all   85.31    0.00   14.49    0.00    0.00    0.10    0.00    0.00    0.00    0.10
Average:     all   84.94    0.00   14.63    0.00    0.00    0.05    0.00    0.00    0.00    0.38
