Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

09:42:07 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:42:12 AM  all   81.78    0.00   14.91    0.00    0.00    0.15    0.00    0.00    0.00    3.15
09:42:17 AM  all   86.01    0.00   13.84    0.00    0.00    0.00    0.00    0.00    0.00    0.15
09:42:22 AM  all   84.80    0.00   14.90    0.00    0.00    0.10    0.00    0.00    0.00    0.20
09:42:27 AM  all   85.84    0.00   14.06    0.00    0.00    0.00    0.00    0.00    0.00    0.10
09:42:32 AM  all   84.94    0.00   14.86    0.00    0.00    0.05    0.00    0.00    0.00    0.15
09:42:37 AM  all   85.45    0.00   14.40    0.00    0.00    0.05    0.00    0.00    0.00    0.10
09:42:42 AM  all   85.34    0.00   14.31    0.00    0.00    0.05    0.00    0.00    0.00    0.30
09:42:47 AM  all   85.15    0.00   14.50    0.00    0.00    0.05    0.00    0.00    0.00    0.30
09:42:52 AM  all   85.70    0.00   14.20    0.00    0.00    0.00    0.00    0.00    0.00    0.10
09:42:57 AM  all   85.10    0.00   14.65    0.00    0.00    0.05    0.00    0.00    0.00    0.20
09:43:02 AM  all   84.84    0.00   15.01    0.00    0.00    0.05    0.00    0.00    0.00    0.10
09:43:07 AM  all   85.35    0.00   14.45    0.00    0.00    0.00    0.00    0.00    0.00    0.20
Average:     all   85.03    0.00   14.51    0.00    0.00    0.05    0.00    0.00    0.00    0.42
