Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

09:52:03 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:52:08 AM  all   81.10    0.00   15.50    0.00    0.00    0.20    0.00    0.00    0.00    3.20
09:52:13 AM  all   47.28    0.00   12.64    0.25    0.00    1.86    0.00    0.00    0.00   37.97
09:52:18 AM  all   29.98    0.00   13.16    0.00    0.00    1.99    0.00    0.00    0.00   54.87
09:52:23 AM  all   25.24    0.00   13.54    0.00    0.00    1.94    0.00    0.00    0.00   59.27
09:52:28 AM  all   24.65    0.00   13.38    0.00    0.00    1.90    0.00    0.00    0.00   60.07
09:52:33 AM  all   23.51    0.00   13.17    0.00    0.00    1.90    0.00    0.00    0.00   61.42
09:52:38 AM  all   24.10    0.00   12.90    0.00    0.00    2.15    0.00    0.00    0.00   60.85
09:52:43 AM  all   23.89    0.00   13.09    0.05    0.00    1.99    0.00    0.00    0.00   60.97
09:52:48 AM  all   24.40    0.00   12.87    0.00    0.00    1.85    0.00    0.00    0.00   60.89
09:52:53 AM  all   24.26    0.00   12.92    0.00    0.00    1.95    0.00    0.00    0.00   60.87
09:52:58 AM  all   23.58    0.00   13.48    0.00    0.00    2.05    0.00    0.00    0.00   60.89
09:53:03 AM  all   23.85    0.00   13.07    0.00    0.00    1.89    0.00    0.00    0.00   61.18
Average:     all   31.44    0.00   13.31    0.03    0.00    1.80    0.00    0.00    0.00   53.42
