Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

07:45:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:45:38 AM  all   80.04    0.00   17.16    0.00    0.00    0.05    0.00    0.00    0.00    2.75
07:45:43 AM  all   82.32    0.00   17.58    0.00    0.00    0.05    0.00    0.00    0.00    0.05
07:45:48 AM  all   81.97    0.00   17.78    0.00    0.00    0.10    0.00    0.00    0.00    0.15
07:45:53 AM  all   82.04    0.00   17.81    0.00    0.00    0.10    0.00    0.00    0.00    0.05
07:45:58 AM  all   82.40    0.00   17.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:46:03 AM  all   82.75    0.00   17.05    0.00    0.00    0.10    0.00    0.00    0.00    0.10
07:46:08 AM  all   81.54    0.00   18.26    0.00    0.00    0.10    0.00    0.00    0.00    0.10
07:46:13 AM  all   82.69    0.00   17.26    0.00    0.00    0.00    0.00    0.00    0.00    0.05
07:46:18 AM  all   81.85    0.00   18.05    0.00    0.00    0.05    0.00    0.00    0.00    0.05
07:46:23 AM  all   82.35    0.00   17.60    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:46:28 AM  all   82.04    0.00   17.81    0.00    0.00    0.05    0.00    0.00    0.00    0.10
07:46:33 AM  all   82.20    0.00   17.70    0.00    0.00    0.05    0.00    0.00    0.00    0.05
Average:     all   82.02    0.00   17.64    0.00    0.00    0.06    0.00    0.00    0.00    0.29
