Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

07:47:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:47:38 AM  all   23.42    0.00    5.74    0.00    0.00    1.42    0.00    0.00    0.00   69.41
07:47:43 AM  all   22.83    0.00    4.60    0.00    0.00    1.23    0.00    0.00    0.00   71.35
07:47:48 AM  all   22.68    0.00    4.79    0.00    0.00    1.48    0.00    0.00    0.00   71.05
07:47:53 AM  all   22.79    0.00    4.85    0.00    0.00    1.43    0.00    0.00    0.00   70.92
07:47:58 AM  all   23.19    0.00    4.98    0.00    0.00    1.53    0.00    0.00    0.00   70.30
07:48:03 AM  all   22.57    0.00    4.79    0.05    0.00    1.38    0.00    0.00    0.00   71.22
07:48:08 AM  all   22.43    0.00    4.63    0.00    0.00    1.37    0.00    0.00    0.00   71.57
07:48:13 AM  all   22.85    0.00    4.94    0.00    0.00    1.78    0.00    0.00    0.00   70.43
07:48:18 AM  all   22.45    0.00    5.10    0.00    0.00    1.43    0.00    0.00    0.00   71.02
07:48:23 AM  all   22.43    0.00    4.75    0.00    0.00    1.53    0.00    0.00    0.00   71.28
07:48:28 AM  all   23.22    0.00    5.18    0.00    0.00    1.52    0.00    0.00    0.00   70.07
07:48:33 AM  all   22.18    0.00    4.78    0.00    0.00    1.58    0.00    0.00    0.00   71.46
Average:     all   22.75    0.00    4.93    0.00    0.00    1.47    0.00    0.00    0.00   70.84
