Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

07:44:13 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:44:18 AM  all   80.10    0.00   17.60    0.00    0.00    0.10    0.00    0.00    0.00    2.20
07:44:23 AM  all   82.23    0.00   17.62    0.00    0.00    0.05    0.00    0.00    0.00    0.10
07:44:28 AM  all   81.70    0.00   18.15    0.00    0.00    0.10    0.00    0.00    0.00    0.05
07:44:33 AM  all   82.61    0.00   17.19    0.00    0.00    0.15    0.00    0.00    0.00    0.05
07:44:38 AM  all   81.95    0.00   17.95    0.00    0.00    0.05    0.00    0.00    0.00    0.05
07:44:43 AM  all   82.19    0.00   17.71    0.00    0.00    0.00    0.00    0.00    0.00    0.10
07:44:48 AM  all   81.72    0.00   18.13    0.00    0.00    0.05    0.00    0.00    0.00    0.10
07:44:53 AM  all   82.06    0.00   17.74    0.00    0.00    0.10    0.00    0.00    0.00    0.10
07:44:58 AM  all   82.28    0.00   17.62    0.00    0.00    0.05    0.00    0.00    0.00    0.05
07:45:03 AM  all   82.06    0.00   17.79    0.00    0.00    0.05    0.00    0.00    0.00    0.10
07:45:08 AM  all   82.16    0.00   17.74    0.00    0.00    0.05    0.00    0.00    0.00    0.05
07:45:13 AM  all   81.69    0.00   18.06    0.00    0.00    0.15    0.00    0.00    0.00    0.10
Average:     all   81.90    0.00   17.77    0.00    0.00    0.08    0.00    0.00    0.00    0.25
