Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:14:46 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:14:51 AM  all   88.85    0.00    7.70    0.00    0.00    0.10    0.00    0.00    0.00    3.35
06:14:56 AM  all   91.50    0.00    8.05    0.00    0.00    0.05    0.00    0.00    0.00    0.40
06:15:01 AM  all   91.70    0.00    7.90    0.00    0.00    0.05    0.00    0.00    0.00    0.35
06:15:06 AM  all   91.89    0.00    8.01    0.00    0.00    0.00    0.00    0.00    0.00    0.10
06:15:11 AM  all   92.25    0.00    7.50    0.00    0.00    0.10    0.00    0.00    0.00    0.15
06:15:16 AM  all   92.14    0.00    7.66    0.00    0.00    0.05    0.00    0.00    0.00    0.15
06:15:21 AM  all   91.40    0.00    8.20    0.00    0.00    0.05    0.00    0.00    0.00    0.35
06:15:26 AM  all   91.79    0.00    8.06    0.00    0.00    0.05    0.00    0.00    0.00    0.10
06:15:31 AM  all   91.84    0.00    7.91    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:15:36 AM  all   91.44    0.00    8.16    0.00    0.00    0.10    0.00    0.00    0.00    0.30
06:15:41 AM  all   91.46    0.10    8.14    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:15:46 AM  all   91.18    0.25    8.32    0.00    0.00    0.05    0.00    0.00    0.00    0.20
Average:     all   91.45    0.03    7.97    0.00    0.00    0.06    0.00    0.00    0.00    0.49
