Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:16:16 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:16:21 AM  all   89.54    0.00    7.81    0.00    0.00    0.00    0.00    0.00    0.00    2.65
06:16:26 AM  all   91.59    0.00    8.01    0.00    0.00    0.05    0.00    0.00    0.00    0.35
06:16:31 AM  all   91.75    0.00    8.20    0.00    0.00    0.00    0.00    0.00    0.00    0.05
06:16:36 AM  all   91.55    0.00    8.15    0.00    0.00    0.00    0.00    0.00    0.00    0.30
06:16:41 AM  all   91.56    0.00    7.99    0.00    0.00    0.20    0.00    0.00    0.00    0.25
06:16:46 AM  all   91.78    0.00    8.12    0.00    0.00    0.00    0.00    0.00    0.00    0.10
06:16:51 AM  all   91.70    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.30
06:16:56 AM  all   92.05    0.00    7.60    0.00    0.00    0.10    0.00    0.00    0.00    0.25
06:17:01 AM  all   91.95    0.00    7.80    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:17:06 AM  all   92.04    0.00    7.71    0.00    0.00    0.00    0.00    0.00    0.00    0.25
06:17:11 AM  all   92.09    0.00    7.76    0.00    0.00    0.00    0.00    0.00    0.00    0.15
06:17:16 AM  all   92.16    0.00    7.54    0.00    0.00    0.15    0.00    0.00    0.00    0.15
Average:     all   91.65    0.00    7.89    0.00    0.00    0.05    0.00    0.00    0.00    0.42
