Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:53:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:53:53 AM  all   89.36    0.00    7.55    0.00    0.00    0.15    0.00    0.00    0.00    2.95
06:53:58 AM  all   91.85    0.00    7.80    0.00    0.00    0.05    0.00    0.00    0.00    0.30
06:54:03 AM  all   91.65    0.00    8.10    0.00    0.00    0.00    0.00    0.00    0.00    0.25
06:54:08 AM  all   91.94    0.00    7.76    0.00    0.00    0.10    0.00    0.00    0.00    0.20
06:54:13 AM  all   91.84    0.00    8.01    0.00    0.00    0.05    0.00    0.00    0.00    0.10
06:54:18 AM  all   91.50    0.00    7.95    0.00    0.00    0.10    0.00    0.00    0.00    0.45
06:54:23 AM  all   92.25    0.00    7.65    0.00    0.00    0.05    0.00    0.00    0.00    0.05
06:54:28 AM  all   91.79    0.00    8.06    0.00    0.00    0.00    0.00    0.00    0.00    0.15
06:54:33 AM  all   91.99    0.00    7.71    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:54:38 AM  all   91.90    0.00    7.80    0.00    0.00    0.10    0.00    0.00    0.00    0.20
06:54:43 AM  all   91.85    0.00    7.80    0.00    0.00    0.05    0.00    0.00    0.00    0.30
06:54:48 AM  all   91.86    0.00    7.79    0.00    0.00    0.10    0.00    0.00    0.00    0.25
Average:     all   91.65    0.00    7.83    0.00    0.00    0.07    0.00    0.00    0.00    0.45
