Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:26:58 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:27:03 AM  all   89.02    0.00    8.07    0.00    0.00    0.05    0.00    0.00    0.00    2.86
06:27:08 AM  all   91.80    0.00    7.90    0.00    0.00    0.10    0.00    0.00    0.00    0.20
06:27:13 AM  all   91.70    0.00    7.95    0.00    0.00    0.05    0.00    0.00    0.00    0.30
06:27:18 AM  all   91.24    0.00    8.26    0.00    0.00    0.10    0.00    0.00    0.00    0.40
06:27:23 AM  all   91.69    0.00    8.01    0.00    0.00    0.00    0.00    0.00    0.00    0.30
06:27:28 AM  all   91.36    0.00    8.04    0.00    0.00    0.15    0.00    0.00    0.00    0.45
06:27:33 AM  all   91.70    0.00    7.95    0.00    0.00    0.05    0.00    0.00    0.00    0.30
06:27:38 AM  all   92.09    0.00    7.56    0.00    0.00    0.05    0.00    0.00    0.00    0.30
06:27:43 AM  all   91.55    0.00    7.95    0.00    0.00    0.10    0.00    0.00    0.00    0.40
06:27:48 AM  all   91.85    0.00    8.00    0.00    0.00    0.05    0.00    0.00    0.00    0.10
06:27:53 AM  all   91.80    0.00    7.95    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:27:58 AM  all   91.65    0.00    8.00    0.00    0.00    0.05    0.00    0.00    0.00    0.30
Average:     all   91.45    0.00    7.97    0.00    0.00    0.07    0.00    0.00    0.00    0.51
