Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:52:19 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:52:24 AM  all   89.16    0.00    7.74    0.00    0.00    0.10    0.00    0.00    0.00    3.00
06:52:29 AM  all   91.83    0.00    7.97    0.00    0.00    0.00    0.00    0.00    0.00    0.20
06:52:34 AM  all   91.86    0.00    7.89    0.00    0.00    0.10    0.00    0.00    0.00    0.15
06:52:39 AM  all   91.73    0.00    7.92    0.00    0.00    0.00    0.00    0.00    0.00    0.35
06:52:44 AM  all   91.59    0.00    8.16    0.00    0.00    0.10    0.00    0.00    0.00    0.15
06:52:49 AM  all   91.65    0.00    8.10    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:52:54 AM  all   91.45    0.00    8.00    0.00    0.00    0.10    0.00    0.00    0.00    0.45
06:52:59 AM  all   91.79    0.00    7.91    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:53:04 AM  all   91.70    0.00    8.00    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:53:09 AM  all   91.99    0.00    7.66    0.00    0.00    0.00    0.00    0.00    0.00    0.35
06:53:14 AM  all   91.80    0.00    7.85    0.00    0.00    0.05    0.00    0.00    0.00    0.30
06:53:19 AM  all   91.80    0.00    7.90    0.00    0.00    0.10    0.00    0.00    0.00    0.20
Average:     all   91.53    0.00    7.93    0.00    0.00    0.06    0.00    0.00    0.00    0.49
