Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:56:41 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:56:46 AM  all   11.54   74.96   10.34    0.00    0.00    0.10    0.00    0.00    0.00    3.05
06:56:51 AM  all   11.11   79.88    8.71    0.00    0.00    0.00    0.00    0.00    0.00    0.30
06:56:56 AM  all   10.96   81.29    7.50    0.00    0.00    0.00    0.00    0.00    0.00    0.25
06:57:01 AM  all   11.11   81.04    7.60    0.00    0.00    0.10    0.00    0.00    0.00    0.15
06:57:06 AM  all   10.80   81.05    7.90    0.00    0.00    0.00    0.00    0.00    0.00    0.25
06:57:11 AM  all   10.81   81.19    7.70    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:57:16 AM  all   11.06   81.08    7.51    0.00    0.00    0.10    0.00    0.00    0.00    0.25
06:57:21 AM  all   10.86   81.09    7.85    0.00    0.00    0.05    0.00    0.00    0.00    0.15
06:57:26 AM  all   11.20   80.60    7.90    0.00    0.00    0.00    0.00    0.00    0.00    0.30
06:57:31 AM  all   11.34   80.71    7.70    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:57:36 AM  all   11.25   80.75    7.80    0.00    0.00    0.05    0.00    0.00    0.00    0.15
06:57:41 AM  all   10.82   81.37    7.66    0.00    0.00    0.05    0.00    0.00    0.00    0.10
Average:     all   11.07   80.42    8.02    0.00    0.00    0.05    0.00    0.00    0.00    0.45
