Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:38:39 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:38:44 AM  all   10.85   76.05   10.10    0.00    0.00    0.10    0.00    0.00    0.00    2.90
06:38:49 AM  all   11.20   80.35    8.15    0.00    0.00    0.00    0.00    0.00    0.00    0.30
06:38:54 AM  all   11.10   80.95    7.70    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:38:59 AM  all   10.92   80.81    7.77    0.00    0.00    0.00    0.00    0.00    0.00    0.50
06:39:04 AM  all   11.56   80.03    8.06    0.00    0.00    0.05    0.00    0.00    0.00    0.30
06:39:09 AM  all   10.90   81.45    7.40    0.00    0.00    0.10    0.00    0.00    0.00    0.15
06:39:14 AM  all   11.40   80.55    7.85    0.00    0.00    0.00    0.00    0.00    0.00    0.20
06:39:19 AM  all   10.22   81.67    7.81    0.00    0.00    0.00    0.00    0.00    0.00    0.30
06:39:24 AM  all   11.04   80.96    7.75    0.00    0.00    0.00    0.00    0.00    0.00    0.25
06:39:29 AM  all   11.17   80.97    7.56    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:39:34 AM  all   10.98   80.93    7.74    0.00    0.00    0.05    0.00    0.00    0.00    0.30
06:39:39 AM  all   10.56   81.98    7.36    0.00    0.00    0.00    0.00    0.00    0.00    0.10
Average:     all   10.99   80.56    7.94    0.00    0.00    0.03    0.00    0.00    0.00    0.48
