Linux 6.8.0-139-generic (turbo-plugin) 	09/08/2026 	_x86_64_	(4 CPU)

06:45:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:45:05 AM  all   89.25    0.00    7.85    0.00    0.00    0.10    0.00    0.00    0.00    2.80
06:45:10 AM  all   91.90    0.00    7.85    0.00    0.00    0.10    0.00    0.00    0.00    0.15
06:45:15 AM  all   91.90    0.00    7.80    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:45:20 AM  all   92.00    0.00    7.65    0.00    0.00    0.05    0.00    0.00    0.00    0.30
06:45:25 AM  all   92.34    0.00    7.56    0.00    0.00    0.00    0.00    0.00    0.00    0.10
06:45:30 AM  all   92.20    0.00    7.50    0.00    0.00    0.10    0.00    0.00    0.00    0.20
06:45:35 AM  all   92.10    0.00    7.75    0.00    0.00    0.05    0.00    0.00    0.00    0.10
06:45:40 AM  all   91.50    0.00    8.15    0.00    0.00    0.05    0.00    0.00    0.00    0.30
06:45:45 AM  all   91.50    0.00    8.25    0.00    0.00    0.05    0.00    0.00    0.00    0.20
06:45:50 AM  all   92.05    0.00    7.60    0.00    0.00    0.05    0.00    0.00    0.00    0.30
06:45:55 AM  all   91.88    0.00    7.82    0.00    0.00    0.05    0.00    0.00    0.00    0.25
06:46:00 AM  all   91.85    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.15
Average:     all   91.71    0.00    7.81    0.00    0.00    0.05    0.00    0.00    0.00    0.43
